"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"Laptop HP Victus 16-R0376TX AY8Z2PA","Intel Core i7-13700HX (up to 5.0 GHz with Intel Turbo Boost Technology, 30 MB L3 cache,16 lõi, 24 luồng)","2 khe (2 x 8 GB)","NVIDIA GeForce RTX 3050 Laptop GPU (6 GB GDDR6 dedicated)","512 GB PCIe Gen4 NVMeTM M.2 SSD","16.1 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 100% sRGB
Độ sáng 300 nits
Thời gian phản hồi 7 ms
Ánh sáng xanh thấp","4-cell, 70 Wh Li-ion polymer
Bộ đổi nguồn AC thông minh 200 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút","Windows 11 Home Single Language","Đen","24.990.000₫","",""
"Laptop HP 15-FD0237TU 9Q972PA","Intel Core i5-1334U (up to 4.6 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 10 lõi, 12 luồng)","2 khe (2x4GB)","Intel Iris Xe Graphics","512GB SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion polymer","Windows 11 Home Single Language","Bạc","13.990.000₫","",""
"Laptop HP Pavilion 15-EG3095TU 8C5L6PA V2","Intel Core i5 - 1335U (1.30 GHz, Turbo Boost 4.6 GHz, 10 lõi / 12 luồng, 12 MB)","2 khe (Máy nguyên bản 16GB)","Intel Iris Xe Graphics","512 GB SSD NVMe PCIe","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC
Màn hình chống chói
Độ sáng 250 nits","3-cell Li-ion, 41 Wh","Windows 11 Home SL","Bạc","17.490.000₫","",""
"Laptop HP 15-FD1063TU 9Z2Y1PA","Intel Core Ultra 5 125H (lên đến 4,5 GHz với Công nghệ Intel Turbo Boost, bộ nhớ đệm L3 18 MB, 14 lõi, 18 luồng)","Máy nguyên bản 2 x 8GB, nâng cấp tối đa 32GB","Intel Graphics","512 GB PCIe NVMeTM M.2 SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300 nits
Độ phủ màu 62.5% sRGB","3-cell, 41 Wh Li-ion polymer
Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút","Windows 11 Home Single Language","Vàng","16.990.000₫","",""
"Laptop HP Victus 16-S0136AX 9Q984PA","AMD Ryzen 5 7640HS (tốc độ xung nhịp tăng tối đa lên đến 5,0 GHz, bộ nhớ đệm L3 16 MB, 6 lõi,12 luồng)","2 khe (2 x 16GB)","NVIDIA GeForce RTX 3050 (GDDR6 6 GB chuyên dụng)","Ổ SSD 512 GB PCIe Gen4 NVMeTM TLC M.2","16.1 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC
Độ sáng 250 nit
Chống lóa","4 cell, 70 Wh Li-ion polime
Bộ chuyển đổi nguồn điện AC thông minh 200 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút
Thời lượng pin Lên đến 7 tiếng 45 phút","Windows 11 Home Single Language","Bạc","19.990.000₫","",""
"Laptop HP 15S-FQ5163TU 7C135PA","Intel Core i5-1235U (4.40 GHz,12 MB, 10 lõi / 12 luồng)","2 khe ( 2 x 4GB)","Intel Iris Xe Graphics","256GB PCIe NVMe M.2 SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion","Windows 11 Home 64","Bạc","","",""
"Laptop HP Pavilion x360 14-DW1019TU 2H3N7PA","Intel Core i7-1165G7, tốc độ 2.8GHz tối đa lên đến 4.7GHz, bộ nhớ đệm 12MB","DDR4 3200Mhz, 2 khe cắm, hỗ trợ tối đa 16GB","Intel Iris Xe Graphics","512 GB PCIe NVMe M.2 SSD","14 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
45% NTSC","3 Cell 43WHr","Windows 10 Home SL","","","",""
"Laptop HP Victus 16-S0143AX 9Q990PA","AMD Ryzen 5 7640HS (up to 5.0 GHz max boost clock, 16 MB L3 cache, 6 lõi, 12 luồng)","2 khe (2 x 16GB)","NVIDIA GeForce RTX 4050 6 GB GDDR6","512 GB PCIe Gen4 NVMe Performance M.2 SSD","16.1 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","4-cell, 70 Wh Li-ion polymer","Windows 11 Home Single Language","Đen","23.990.000₫","",""
"Laptop HP Envy X360 14-FA0096AU AY8U6PA","AMD Ryzen 5 8640HS (tốc độ xung nhịp tăng tối đa lên đến 4,9 GHz, bộ nhớ đệm L3 16 MB, 6 lõi,12 luồng)","LPDDR5-6400 MT/s (tích hợp)","AMD Radeon","SSD PCIe Thế hệ 4 NVMeTM M.2 1 TB","14 inches","2880 x 1800 pixels","Độ phủ màu 100% DCI-P3
Độ sáng 500 nit
Thời gian phản hồi 0.2 ms
Hỗ trợ 1.07 tỷ màu (ở chế độ HDR)
Corning Gorilla Glass NBTTM
Ánh sáng xanh thấp
SDR 400 nit","Li-ion polymer 3 lõi, 59 Wh
Bộ chuyển đổi nguồn điện 65 W USB Type-C
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút","Windows 11 Home Single Language + OFFICE","Bạc","25.990.000₫","",""
"Laptop HP 15-FD0235TU 9Q970PA","Intel Core i5-1334U (tối đa 4.6 GHz với Công nghệ Intel Turbo Boost, bộ nhớ đệm L3 12 MB,10 lõi,12 luồng)","2 x 8 GB","Intel Iris Xe","512GB SSD M.2 PCIe Thế hệ 4 NVMeTM","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 62.5% sRGB
Độ sáng 250 nit","Pin Li-ion polymer 3 cell, công suất 41 Wh
Bộ chuyển đổi nguồn điện AC thông minh 45 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút","Windows 11 Home Single Language","Bạc","14.790.000₫","5 sao/ (2 đánh giá)","mẫu này có nâng cấp ram đc ko || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Nhân viên tư vấn nhiệt tình"
"Laptop HP Victus 16-R0374TX AY8Y7PA","Intel Core i5-13500HX (14 lõi) - Max Turbo Frequency: 4.70 GHz","2 khe (2 x 8GB)","NVIDIA GeForce RTX 4050 (6GB of GDDR6 SDRAM, Bus Width: 96- bit)
Intel UHD Graphics","512GB SSD PCIe (M.2 2280)","16.1 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói
100% sRGB","4 Cell Int (70.07Wh)","Windows 11 Home Single Language 64-bit","Đen","23.690.000₫","",""
"Laptop HP Pavilion 15-EG3111TU 8U6L8PA","Intel Core i5-1335U (up to 4.6 GHz with Intel Turbo Boost Technology,12 MB L3 cache,10 lõi,12 luồng)","2x8GB, nâng cấp tối đa 32GB","Intel Iris Xe Graphics","512 GB PCIe NVMe M.2 SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion","Windows 11 Home Single Language","Bạc","17.490.000₫","4.3 sao/ (9 đánh giá)","tư vấn nhiêt tình.chu đáo.nhưng nhiều chỗ mua máy tính phải kèm theo túi đựng thì hấp dẫn hơn || tư vấn nhiêt tình.chu đáo.nhưng nhiều chỗ mua máy tính phải kèm theo túi đựng thì hấp dẫn hơn || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Nhân viên nam tên Huy nhiệt tình chu đáo || Khi mở máy lên quạt tản nhiệt tự chạy có sao không ạ || Khi mở máy lên quạt tản nhiệt tự chạy có sao không ạ"
"Laptop HP Probook 440 G9","Intel Core i5 1235U","1 khe, hỗ trợ RAM tối đa 32GB","Intel Iris Xe Graphics","SSD 512GB","14 inches","1920 x 1080 pixels (FullHD)","14.0 inch, 1920 x 1080 Pixels, IPS, 250 nits, Anti-glare WLED-backlit, 45% NTSC","51 Wh, 65 W","Windows 11","","","",""
"Laptop HP 240 G8 518V8PA","Intel Core i5 1135G7","DDR4/ 3200MHz, 2 khe cắm","Intel UHD Graphics","512GB SSD PCIe (M.2 2280)","14 inches","1920 x 1080 pixels (FullHD)","Màn hình chống loá, 60Hz WLED-backlit","3 Cell Int (41.04Wh)","Windows 10 Home SL","","","",""
"Laptop HP Envy X360 2IN2 2022","AMD Ryzen™ 5 5625U 6 Cores 12 Threads up to 4.0 GHz","DDR4-3200","AMD Radeon™ Graphics","256GB PCIe® NVMe™ M.2 SSD","15.6 inches","","IPS, Cảm ứng, Xoay gập 360","","","","","",""
"Laptop HP Probook 450 G9","Intel Core i5 Alder Lake - 1235U","1 khe 8 GB + 1 khe rời","Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)","512GB SSD NVMe PCIe","15.6 inches","1920 x 1080 pixels (FullHD)","Tấm nền IPS
Chống chói Anti Glare","3-cell Li-ion, 51 Wh","Windows 11 Home SL","","","",""
"Laptop HP 15S FQ1111TU 193R0PA","Intel Core i3 Ice Lake - 1005G1","2 khe, nâng cấp tối đa 16GB","Intel UHD Graphics","256GB SSD","15.6 inches","1920 x 1080 pixels (FullHD)","60Hz, LED Backlit, SVA","3-cell Li-ion","Windows 10 Home SL","","","",""
"Laptop HP Pavilion 15-EG1040TU 5Z9V3PA","Intel Core i5-1155G7","2 khe","Intel Iris Xe Graphics","256GB SSD","15.6 inches","1920 x 1080 pixels (FullHD)","","3 Cell (41Wh)","Windows 11 Home","","","",""
"Laptop HP 340S G7 36A43PA","Intel Core i5-1035G1","2 khe","Intel UHD Graphics","256GB SSD PCIe (M.2 2280)","14 inches","1920 x 1080 pixels (FullHD)","Anti-glare","3 Cell (41.04Wh)","Windows 10 Home 64-bit","","","",""
"Laptop HP 15S-DU1040TX 8RE77PA","Intel Core i7 - 10510U","2 khe","nVidia Geforce MX130 2GB","512GB PCIe® NVMe™ M.2 SSD","15.6 inches","1366 x 768 pixels","","3-cell, 41 Wh Li-ion","Windows 10 Home Single Language 64","","","",""
"Laptop HP 340S G7 224L0PA","Intel Core i3-1005G1","2 khe","Intel UHD Graphics","512GB SSD","14 inches","1366 x 768 pixels","Anti-glare","3 Cell (41.04Wh)","Windows 10 Home 64-bit","","","",""
"Laptop HP 15S FQ1107TU","Intel Core i3 - 1005G1","DDR4","Intel UHD Graphics","256GB SSD","15.6 inches","1366 x 768 pixels","WLED-backlit","3 cell","Windows 10 Home","","","",""
"Laptop HP 240 G8 46J53PA","Intel Core i3 - 1005G1","DDR4","Intel UHD Graphics 600","SSD 512 GB","14 inches","1366 x 768 pixels","LED
250 nits
45% NTSC","3 Cell 65 W","Windows 10","","","",""
"Laptop HP Pavilion 15-EG0509TU 46M08PA","Intel Core I3- 1125G4","DDR4","Intel UHD Graphics","SSD 512 GB","15.6 inches","1920 x 1080 pixels (FullHD)","LED
250 nits
45% NTSC","3 Cell 45 W","Windows 11","","","",""
"Laptop HP Pavilion X360 14-DY0075TU 46L93PA","Intel Core i7-1165G7","DDR4/ 3200MHz","Intel Iris Xe Graphics","512GB SSD PCIe (M.2 2280)","14 inches","1920 x 1080 pixels (FullHD)","","3 Cell Int (43.3Wh)","Windows 11 Home SL","","","",""
